[Measurement conditions]
Sample identification,50%Ag-EA
Comment - 1,"Configuration=Programmable xy with programmable z platforms, Owner=User, Creation date=02/07/2021 13:22:25"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Programmable xy-platform with programmable z-adjustment; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Knapp Group (CK)\Songming Liu\20-80°, 0.05° step, 0.5s-step.xrdmp, Created identifier={D6D0720B-9417-4404-86A5-80CEFF14CAE1}, Created by=User, Id=WL:EMPYREANGI:User, Creation date=20/06/2024 10:10:34"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 40
File date and time,15/Jul/2024 12:00
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,80.00000
Scan step size,0.0500000
No. of points, 1200
Scan type,CONTINUOUS
Omega,1.0000
X,-0.85
Y,-0.07
Z,20.253
Time per step,0.50
[Scan points]
Angle, TimePerStep, Intensity, ESD
20.02500, 0.50, 50.0, 7.0711
20.07500, 0.50, 50.0, 7.0711
20.12500, 0.50, 28.0, 5.2915
20.17500, 0.50, 34.0, 5.8310
20.22500, 0.50, 39.0, 6.2450
20.27500, 0.50, 34.0, 5.8310
20.32500, 0.50, 30.0, 5.4772
20.37500, 0.50, 40.0, 6.3246
20.42500, 0.50, 44.0, 6.6332
20.47500, 0.50, 43.0, 6.5574
20.52500, 0.50, 37.0, 6.0828
20.57500, 0.50, 44.0, 6.6332
20.62500, 0.50, 37.0, 6.0828
20.67500, 0.50, 46.0, 6.7823
20.72500, 0.50, 30.0, 5.4772
20.77500, 0.50, 29.0, 5.3852
20.82500, 0.50, 35.0, 5.9161
20.87500, 0.50, 32.0, 5.6569
20.92500, 0.50, 36.0, 6.0000
20.97500, 0.50, 38.0, 6.1644
21.02500, 0.50, 43.0, 6.5574
21.07500, 0.50, 49.0, 7.0000
21.12500, 0.50, 38.0, 6.1644
21.17500, 0.50, 34.0, 5.8310
21.22500, 0.50, 48.0, 6.9282
21.27500, 0.50, 41.0, 6.4031
21.32500, 0.50, 43.0, 6.5574
21.37500, 0.50, 41.0, 6.4031
21.42500, 0.50, 46.0, 6.7823
21.47500, 0.50, 37.0, 6.0828
21.52500, 0.50, 41.0, 6.4031
21.57500, 0.50, 38.0, 6.1644
21.62500, 0.50, 40.0, 6.3246
21.67500, 0.50, 36.0, 6.0000
21.72500, 0.50, 38.0, 6.1644
21.77500, 0.50, 50.0, 7.0711
21.82500, 0.50, 39.0, 6.2450
21.87500, 0.50, 35.0, 5.9161
21.92500, 0.50, 31.0, 5.5678
21.97500, 0.50, 42.0, 6.4807
22.02500, 0.50, 35.0, 5.9161
22.07500, 0.50, 43.0, 6.5574
22.12500, 0.50, 52.0, 7.2111
22.17500, 0.50, 27.0, 5.1962
22.22500, 0.50, 34.0, 5.8310
22.27500, 0.50, 37.0, 6.0828
22.32500, 0.50, 37.0, 6.0828
22.37500, 0.50, 42.0, 6.4807
22.42500, 0.50, 40.0, 6.3246
22.47500, 0.50, 37.0, 6.0828
22.52500, 0.50, 29.0, 5.3852
22.57500, 0.50, 34.0, 5.8310
22.62500, 0.50, 39.0, 6.2450
22.67500, 0.50, 30.0, 5.4772
22.72500, 0.50, 43.0, 6.5574
22.77500, 0.50, 35.0, 5.9161
22.82500, 0.50, 38.0, 6.1644
22.87500, 0.50, 36.0, 6.0000
22.92500, 0.50, 28.0, 5.2915
22.97500, 0.50, 36.0, 6.0000
23.02500, 0.50, 35.0, 5.9161
23.07500, 0.50, 33.0, 5.7446
23.12500, 0.50, 37.0, 6.0828
23.17500, 0.50, 34.0, 5.8310
23.22500, 0.50, 57.0, 7.5498
23.27500, 0.50, 31.0, 5.5678
23.32500, 0.50, 34.0, 5.8310
23.37500, 0.50, 38.0, 6.1644
23.42500, 0.50, 36.0, 6.0000
23.47500, 0.50, 36.0, 6.0000
23.52500, 0.50, 39.0, 6.2450
23.57500, 0.50, 39.0, 6.2450
23.62500, 0.50, 34.0, 5.8310
23.67500, 0.50, 48.0, 6.9282
23.72500, 0.50, 41.0, 6.4031
23.77500, 0.50, 37.0, 6.0828
23.82500, 0.50, 30.0, 5.4772
23.87500, 0.50, 36.0, 6.0000
23.92500, 0.50, 32.0, 5.6569
23.97500, 0.50, 35.0, 5.9161
24.02500, 0.50, 32.0, 5.6569
24.07500, 0.50, 28.0, 5.2915
24.12500, 0.50, 31.0, 5.5678
24.17500, 0.50, 34.0, 5.8310
24.22500, 0.50, 34.0, 5.8310
24.27500, 0.50, 29.0, 5.3852
24.32500, 0.50, 33.0, 5.7446
24.37500, 0.50, 41.0, 6.4031
24.42500, 0.50, 31.0, 5.5678
24.47500, 0.50, 33.0, 5.7446
24.52500, 0.50, 38.0, 6.1644
24.57500, 0.50, 25.0, 5.0000
24.62500, 0.50, 31.0, 5.5678
24.67500, 0.50, 34.0, 5.8310
24.72500, 0.50, 23.0, 4.7958
24.77500, 0.50, 21.0, 4.5826
24.82500, 0.50, 24.0, 4.8990
24.87500, 0.50, 37.0, 6.0828
24.92500, 0.50, 25.0, 5.0000
24.97500, 0.50, 38.0, 6.1644
25.02500, 0.50, 24.0, 4.8990
25.07500, 0.50, 22.0, 4.6904
25.12500, 0.50, 34.0, 5.8310
25.17500, 0.50, 28.0, 5.2915
25.22500, 0.50, 28.0, 5.2915
25.27500, 0.50, 28.0, 5.2915
25.32500, 0.50, 36.0, 6.0000
25.37500, 0.50, 28.0, 5.2915
25.42500, 0.50, 27.0, 5.1962
25.47500, 0.50, 30.0, 5.4772
25.52500, 0.50, 29.0, 5.3852
25.57500, 0.50, 24.0, 4.8990
25.62500, 0.50, 26.0, 5.0990
25.67500, 0.50, 27.0, 5.1962
25.72500, 0.50, 28.0, 5.2915
25.77500, 0.50, 25.0, 5.0000
25.82500, 0.50, 35.0, 5.9161
25.87500, 0.50, 16.0, 4.0000
25.92500, 0.50, 26.0, 5.0990
25.97500, 0.50, 19.0, 4.3589
26.02500, 0.50, 33.0, 5.7446
26.07500, 0.50, 26.0, 5.0990
26.12500, 0.50, 31.0, 5.5678
26.17500, 0.50, 30.0, 5.4772
26.22500, 0.50, 27.0, 5.1962
26.27500, 0.50, 43.0, 6.5574
26.32500, 0.50, 22.0, 4.6904
26.37500, 0.50, 22.0, 4.6904
26.42500, 0.50, 19.0, 4.3589
26.47500, 0.50, 36.0, 6.0000
26.52500, 0.50, 41.0, 6.4031
26.57500, 0.50, 20.0, 4.4721
26.62500, 0.50, 30.0, 5.4772
26.67500, 0.50, 34.0, 5.8310
26.72500, 0.50, 19.0, 4.3589
26.77500, 0.50, 33.0, 5.7446
26.82500, 0.50, 31.0, 5.5678
26.87500, 0.50, 23.0, 4.7958
26.92500, 0.50, 35.0, 5.9161
26.97500, 0.50, 37.0, 6.0828
27.02500, 0.50, 21.0, 4.5826
27.07500, 0.50, 32.0, 5.6569
27.12500, 0.50, 28.0, 5.2915
27.17500, 0.50, 34.0, 5.8310
27.22500, 0.50, 26.0, 5.0990
27.27500, 0.50, 21.0, 4.5826
27.32500, 0.50, 32.0, 5.6569
27.37500, 0.50, 27.0, 5.1962
27.42500, 0.50, 19.0, 4.3589
27.47500, 0.50, 33.0, 5.7446
27.52500, 0.50, 28.0, 5.2915
27.57500, 0.50, 26.0, 5.0990
27.62500, 0.50, 35.0, 5.9161
27.67500, 0.50, 24.0, 4.8990
27.72500, 0.50, 32.0, 5.6569
27.77500, 0.50, 24.0, 4.8990
27.82500, 0.50, 29.0, 5.3852
27.87500, 0.50, 24.0, 4.8990
27.92500, 0.50, 23.0, 4.7958
27.97500, 0.50, 26.0, 5.0990
28.02500, 0.50, 30.0, 5.4772
28.07500, 0.50, 25.0, 5.0000
28.12500, 0.50, 31.0, 5.5678
28.17500, 0.50, 25.0, 5.0000
28.22500, 0.50, 31.0, 5.5678
28.27500, 0.50, 28.0, 5.2915
28.32500, 0.50, 32.0, 5.6569
28.37500, 0.50, 25.0, 5.0000
28.42500, 0.50, 24.0, 4.8990
28.47500, 0.50, 23.0, 4.7958
28.52500, 0.50, 25.0, 5.0000
28.57500, 0.50, 18.0, 4.2426
28.62500, 0.50, 24.0, 4.8990
28.67500, 0.50, 26.0, 5.0990
28.72500, 0.50, 18.0, 4.2426
28.77500, 0.50, 25.0, 5.0000
28.82500, 0.50, 29.0, 5.3852
28.87500, 0.50, 38.0, 6.1644
28.92500, 0.50, 26.0, 5.0990
28.97500, 0.50, 22.0, 4.6904
29.02500, 0.50, 24.0, 4.8990
29.07500, 0.50, 23.0, 4.7958
29.12500, 0.50, 21.0, 4.5826
29.17500, 0.50, 21.0, 4.5826
29.22500, 0.50, 29.0, 5.3852
29.27500, 0.50, 16.0, 4.0000
29.32500, 0.50, 18.0, 4.2426
29.37500, 0.50, 23.0, 4.7958
29.42500, 0.50, 27.0, 5.1962
29.47500, 0.50, 22.0, 4.6904
29.52500, 0.50, 22.0, 4.6904
29.57500, 0.50, 27.0, 5.1962
29.62500, 0.50, 20.0, 4.4721
29.67500, 0.50, 29.0, 5.3852
29.72500, 0.50, 25.0, 5.0000
29.77500, 0.50, 24.0, 4.8990
29.82500, 0.50, 21.0, 4.5826
29.87500, 0.50, 18.0, 4.2426
29.92500, 0.50, 15.0, 3.8730
29.97500, 0.50, 11.0, 3.3166
30.02500, 0.50, 22.0, 4.6904
30.07500, 0.50, 15.0, 3.8730
30.12500, 0.50, 19.0, 4.3589
30.17500, 0.50, 24.0, 4.8990
30.22500, 0.50, 27.0, 5.1962
30.27500, 0.50, 25.0, 5.0000
30.32500, 0.50, 20.0, 4.4721
30.37500, 0.50, 22.0, 4.6904
30.42500, 0.50, 22.0, 4.6904
30.47500, 0.50, 17.0, 4.1231
30.52500, 0.50, 19.0, 4.3589
30.57500, 0.50, 16.0, 4.0000
30.62500, 0.50, 7.0, 2.6458
30.67500, 0.50, 19.0, 4.3589
30.72500, 0.50, 21.0, 4.5826
30.77500, 0.50, 16.0, 4.0000
30.82500, 0.50, 31.0, 5.5678
30.87500, 0.50, 19.0, 4.3589
30.92500, 0.50, 20.0, 4.4721
30.97500, 0.50, 24.0, 4.8990
31.02500, 0.50, 24.0, 4.8990
31.07500, 0.50, 28.0, 5.2915
31.12500, 0.50, 23.0, 4.7958
31.17500, 0.50, 24.0, 4.8990
31.22500, 0.50, 31.0, 5.5678
31.27500, 0.50, 24.0, 4.8990
31.32500, 0.50, 27.0, 5.1962
31.37500, 0.50, 25.0, 5.0000
31.42500, 0.50, 12.0, 3.4641
31.47500, 0.50, 20.0, 4.4721
31.52500, 0.50, 15.0, 3.8730
31.57500, 0.50, 24.0, 4.8990
31.62500, 0.50, 22.0, 4.6904
31.67500, 0.50, 22.0, 4.6904
31.72500, 0.50, 19.0, 4.3589
31.77500, 0.50, 24.0, 4.8990
31.82500, 0.50, 16.0, 4.0000
31.87500, 0.50, 19.0, 4.3589
31.92500, 0.50, 15.0, 3.8730
31.97500, 0.50, 17.0, 4.1231
32.02500, 0.50, 17.0, 4.1231
32.07500, 0.50, 26.0, 5.0990
32.12500, 0.50, 18.0, 4.2426
32.17500, 0.50, 24.0, 4.8990
32.22500, 0.50, 22.0, 4.6904
32.27500, 0.50, 23.0, 4.7958
32.32500, 0.50, 13.0, 3.6056
32.37500, 0.50, 13.0, 3.6056
32.42500, 0.50, 12.0, 3.4641
32.47500, 0.50, 12.0, 3.4641
32.52500, 0.50, 12.0, 3.4641
32.57500, 0.50, 19.0, 4.3589
32.62500, 0.50, 17.0, 4.1231
32.67500, 0.50, 20.0, 4.4721
32.72500, 0.50, 20.0, 4.4721
32.77500, 0.50, 16.0, 4.0000
32.82500, 0.50, 19.0, 4.3589
32.87500, 0.50, 14.0, 3.7417
32.92500, 0.50, 9.0, 3.0000
32.97500, 0.50, 15.0, 3.8730
33.02500, 0.50, 21.0, 4.5826
33.07500, 0.50, 22.0, 4.6904
33.12500, 0.50, 12.0, 3.4641
33.17500, 0.50, 21.0, 4.5826
33.22500, 0.50, 16.0, 4.0000
33.27500, 0.50, 20.0, 4.4721
33.32500, 0.50, 8.0, 2.8284
33.37500, 0.50, 17.0, 4.1231
33.42500, 0.50, 13.0, 3.6056
33.47500, 0.50, 13.0, 3.6056
33.52500, 0.50, 20.0, 4.4721
33.57500, 0.50, 17.0, 4.1231
33.62500, 0.50, 19.0, 4.3589
33.67500, 0.50, 17.0, 4.1231
33.72500, 0.50, 19.0, 4.3589
33.77500, 0.50, 17.0, 4.1231
33.82500, 0.50, 22.0, 4.6904
33.87500, 0.50, 15.0, 3.8730
33.92500, 0.50, 18.0, 4.2426
33.97500, 0.50, 15.0, 3.8730
34.02500, 0.50, 28.0, 5.2915
34.07500, 0.50, 22.0, 4.6904
34.12500, 0.50, 19.0, 4.3589
34.17500, 0.50, 32.0, 5.6569
