[Measurement conditions]
Sample identification,100%Ag-EA
Comment - 1,"Configuration=Programmable xy with programmable z platforms, Owner=User, Creation date=02/07/2021 13:22:25"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Programmable xy-platform with programmable z-adjustment; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Knapp Group (CK)\Songming Liu\20-80°, 0.05° step, 0.5s-step.xrdmp, Created identifier={D6D0720B-9417-4404-86A5-80CEFF14CAE1}, Created by=User, Id=WL:EMPYREANGI:User, Creation date=20/06/2024 10:10:34"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 40
File date and time,15/Jul/2024 12:26
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,80.00000
Scan step size,0.0500000
No. of points, 1200
Scan type,CONTINUOUS
Omega,1.0000
X,-2.84
Y,1.54
Z,20.312
Time per step,0.50
[Scan points]
Angle, TimePerStep, Intensity, ESD
20.02500, 0.50, 76.0, 8.7178
20.07500, 0.50, 93.0, 9.6437
20.12500, 0.50, 90.0, 9.4868
20.17500, 0.50, 93.0, 9.6437
20.22500, 0.50, 89.0, 9.4340
20.27500, 0.50, 78.0, 8.8318
20.32500, 0.50, 74.0, 8.6023
20.37500, 0.50, 87.0, 9.3274
20.42500, 0.50, 84.0, 9.1652
20.47500, 0.50, 89.0, 9.4340
20.52500, 0.50, 77.0, 8.7750
20.57500, 0.50, 95.0, 9.7468
20.62500, 0.50, 92.0, 9.5917
20.67500, 0.50, 67.0, 8.1854
20.72500, 0.50, 98.0, 9.8995
20.77500, 0.50, 72.0, 8.4853
20.82500, 0.50, 84.0, 9.1652
20.87500, 0.50, 99.0, 9.9499
20.92500, 0.50, 78.0, 8.8318
20.97500, 0.50, 99.0, 9.9499
21.02500, 0.50, 78.0, 8.8318
21.07500, 0.50, 95.0, 9.7468
21.12500, 0.50, 89.0, 9.4340
21.17500, 0.50, 101.0, 10.0499
21.22500, 0.50, 98.0, 9.8995
21.27500, 0.50, 91.0, 9.5394
21.32500, 0.50, 90.0, 9.4868
21.37500, 0.50, 100.0, 10.0000
21.42500, 0.50, 78.0, 8.8318
21.47500, 0.50, 80.0, 8.9443
21.52500, 0.50, 90.0, 9.4868
21.57500, 0.50, 99.0, 9.9499
21.62500, 0.50, 95.0, 9.7468
21.67500, 0.50, 103.0, 10.1489
21.72500, 0.50, 84.0, 9.1652
21.77500, 0.50, 93.0, 9.6437
21.82500, 0.50, 83.0, 9.1104
21.87500, 0.50, 74.0, 8.6023
21.92500, 0.50, 78.0, 8.8318
21.97500, 0.50, 92.0, 9.5917
22.02500, 0.50, 92.0, 9.5917
22.07500, 0.50, 83.0, 9.1104
22.12500, 0.50, 83.0, 9.1104
22.17500, 0.50, 78.0, 8.8318
22.22500, 0.50, 97.0, 9.8489
22.27500, 0.50, 96.0, 9.7980
22.32500, 0.50, 87.0, 9.3274
22.37500, 0.50, 90.0, 9.4868
22.42500, 0.50, 88.0, 9.3808
22.47500, 0.50, 96.0, 9.7980
22.52500, 0.50, 91.0, 9.5394
22.57500, 0.50, 85.0, 9.2195
22.62500, 0.50, 94.0, 9.6954
22.67500, 0.50, 97.0, 9.8489
22.72500, 0.50, 88.0, 9.3808
22.77500, 0.50, 81.0, 9.0000
22.82500, 0.50, 91.0, 9.5394
22.87500, 0.50, 85.0, 9.2195
22.92500, 0.50, 102.0, 10.0995
22.97500, 0.50, 75.0, 8.6603
23.02500, 0.50, 91.0, 9.5394
23.07500, 0.50, 80.0, 8.9443
23.12500, 0.50, 102.0, 10.0995
23.17500, 0.50, 74.0, 8.6023
23.22500, 0.50, 76.0, 8.7178
23.27500, 0.50, 96.0, 9.7980
23.32500, 0.50, 85.0, 9.2195
23.37500, 0.50, 97.0, 9.8489
23.42500, 0.50, 93.0, 9.6437
23.47500, 0.50, 79.0, 8.8882
23.52500, 0.50, 82.0, 9.0554
23.57500, 0.50, 84.0, 9.1652
23.62500, 0.50, 83.0, 9.1104
23.67500, 0.50, 93.0, 9.6437
23.72500, 0.50, 88.0, 9.3808
23.77500, 0.50, 77.0, 8.7750
23.82500, 0.50, 82.0, 9.0554
23.87500, 0.50, 92.0, 9.5917
23.92500, 0.50, 72.0, 8.4853
23.97500, 0.50, 78.0, 8.8318
24.02500, 0.50, 97.0, 9.8489
24.07500, 0.50, 65.0, 8.0623
24.12500, 0.50, 84.0, 9.1652
24.17500, 0.50, 81.0, 9.0000
24.22500, 0.50, 93.0, 9.6437
24.27500, 0.50, 77.0, 8.7750
24.32500, 0.50, 67.0, 8.1854
24.37500, 0.50, 77.0, 8.7750
24.42500, 0.50, 88.0, 9.3808
24.47500, 0.50, 82.0, 9.0554
24.52500, 0.50, 82.0, 9.0554
24.57500, 0.50, 64.0, 8.0000
24.62500, 0.50, 102.0, 10.0995
24.67500, 0.50, 84.0, 9.1652
24.72500, 0.50, 85.0, 9.2195
24.77500, 0.50, 81.0, 9.0000
24.82500, 0.50, 67.0, 8.1854
24.87500, 0.50, 77.0, 8.7750
24.92500, 0.50, 86.0, 9.2736
24.97500, 0.50, 85.0, 9.2195
25.02500, 0.50, 73.0, 8.5440
25.07500, 0.50, 80.0, 8.9443
25.12500, 0.50, 76.0, 8.7178
25.17500, 0.50, 90.0, 9.4868
25.22500, 0.50, 82.0, 9.0554
25.27500, 0.50, 93.0, 9.6437
25.32500, 0.50, 80.0, 8.9443
25.37500, 0.50, 74.0, 8.6023
25.42500, 0.50, 80.0, 8.9443
25.47500, 0.50, 80.0, 8.9443
25.52500, 0.50, 63.0, 7.9373
25.57500, 0.50, 77.0, 8.7750
25.62500, 0.50, 71.0, 8.4261
25.67500, 0.50, 89.0, 9.4340
25.72500, 0.50, 72.0, 8.4853
25.77500, 0.50, 69.0, 8.3066
25.82500, 0.50, 73.0, 8.5440
25.87500, 0.50, 72.0, 8.4853
25.92500, 0.50, 101.0, 10.0499
25.97500, 0.50, 75.0, 8.6603
26.02500, 0.50, 62.0, 7.8740
26.07500, 0.50, 71.0, 8.4261
26.12500, 0.50, 78.0, 8.8318
26.17500, 0.50, 49.0, 7.0000
26.22500, 0.50, 72.0, 8.4853
26.27500, 0.50, 62.0, 7.8740
26.32500, 0.50, 84.0, 9.1652
26.37500, 0.50, 81.0, 9.0000
26.42500, 0.50, 69.0, 8.3066
26.47500, 0.50, 75.0, 8.6603
26.52500, 0.50, 81.0, 9.0000
26.57500, 0.50, 67.0, 8.1854
26.62500, 0.50, 82.0, 9.0554
26.67500, 0.50, 78.0, 8.8318
26.72500, 0.50, 70.0, 8.3666
26.77500, 0.50, 67.0, 8.1854
26.82500, 0.50, 62.0, 7.8740
26.87500, 0.50, 63.0, 7.9373
26.92500, 0.50, 54.0, 7.3485
26.97500, 0.50, 76.0, 8.7178
27.02500, 0.50, 65.0, 8.0623
27.07500, 0.50, 62.0, 7.8740
27.12500, 0.50, 71.0, 8.4261
27.17500, 0.50, 66.0, 8.1240
27.22500, 0.50, 61.0, 7.8102
27.27500, 0.50, 61.0, 7.8102
27.32500, 0.50, 53.0, 7.2801
27.37500, 0.50, 61.0, 7.8102
27.42500, 0.50, 70.0, 8.3666
27.47500, 0.50, 68.0, 8.2462
27.52500, 0.50, 73.0, 8.5440
27.57500, 0.50, 58.0, 7.6158
27.62500, 0.50, 65.0, 8.0623
27.67500, 0.50, 62.0, 7.8740
27.72500, 0.50, 72.0, 8.4853
27.77500, 0.50, 54.0, 7.3485
27.82500, 0.50, 55.0, 7.4162
27.87500, 0.50, 60.0, 7.7460
27.92500, 0.50, 66.0, 8.1240
27.97500, 0.50, 41.0, 6.4031
28.02500, 0.50, 70.0, 8.3666
28.07500, 0.50, 64.0, 8.0000
28.12500, 0.50, 61.0, 7.8102
28.17500, 0.50, 57.0, 7.5498
28.22500, 0.50, 63.0, 7.9373
28.27500, 0.50, 57.0, 7.5498
28.32500, 0.50, 65.0, 8.0623
28.37500, 0.50, 50.0, 7.0711
28.42500, 0.50, 51.0, 7.1414
28.47500, 0.50, 51.0, 7.1414
28.52500, 0.50, 62.0, 7.8740
28.57500, 0.50, 77.0, 8.7750
28.62500, 0.50, 60.0, 7.7460
28.67500, 0.50, 54.0, 7.3485
28.72500, 0.50, 54.0, 7.3485
28.77500, 0.50, 49.0, 7.0000
28.82500, 0.50, 53.0, 7.2801
28.87500, 0.50, 69.0, 8.3066
28.92500, 0.50, 58.0, 7.6158
28.97500, 0.50, 52.0, 7.2111
29.02500, 0.50, 57.0, 7.5498
29.07500, 0.50, 57.0, 7.5498
29.12500, 0.50, 58.0, 7.6158
29.17500, 0.50, 51.0, 7.1414
29.22500, 0.50, 57.0, 7.5498
29.27500, 0.50, 65.0, 8.0623
29.32500, 0.50, 68.0, 8.2462
29.37500, 0.50, 46.0, 6.7823
29.42500, 0.50, 53.0, 7.2801
29.47500, 0.50, 54.0, 7.3485
29.52500, 0.50, 45.0, 6.7082
29.57500, 0.50, 58.0, 7.6158
29.62500, 0.50, 43.0, 6.5574
29.67500, 0.50, 43.0, 6.5574
29.72500, 0.50, 56.0, 7.4833
29.77500, 0.50, 50.0, 7.0711
29.82500, 0.50, 48.0, 6.9282
29.87500, 0.50, 51.0, 7.1414
29.92500, 0.50, 48.0, 6.9282
29.97500, 0.50, 53.0, 7.2801
30.02500, 0.50, 55.0, 7.4162
30.07500, 0.50, 50.0, 7.0711
30.12500, 0.50, 44.0, 6.6332
30.17500, 0.50, 47.0, 6.8557
30.22500, 0.50, 51.0, 7.1414
30.27500, 0.50, 55.0, 7.4162
30.32500, 0.50, 56.0, 7.4833
30.37500, 0.50, 54.0, 7.3485
30.42500, 0.50, 55.0, 7.4162
30.47500, 0.50, 47.0, 6.8557
30.52500, 0.50, 44.0, 6.6332
30.57500, 0.50, 43.0, 6.5574
30.62500, 0.50, 52.0, 7.2111
30.67500, 0.50, 56.0, 7.4833
30.72500, 0.50, 45.0, 6.7082
30.77500, 0.50, 45.0, 6.7082
30.82500, 0.50, 57.0, 7.5498
30.87500, 0.50, 42.0, 6.4807
30.92500, 0.50, 52.0, 7.2111
30.97500, 0.50, 53.0, 7.2801
31.02500, 0.50, 40.0, 6.3246
31.07500, 0.50, 50.0, 7.0711
31.12500, 0.50, 46.0, 6.7823
31.17500, 0.50, 38.0, 6.1644
31.22500, 0.50, 33.0, 5.7446
31.27500, 0.50, 38.0, 6.1644
31.32500, 0.50, 39.0, 6.2450
31.37500, 0.50, 42.0, 6.4807
31.42500, 0.50, 50.0, 7.0711
31.47500, 0.50, 42.0, 6.4807
31.52500, 0.50, 39.0, 6.2450
31.57500, 0.50, 38.0, 6.1644
31.62500, 0.50, 46.0, 6.7823
31.67500, 0.50, 39.0, 6.2450
31.72500, 0.50, 51.0, 7.1414
31.77500, 0.50, 42.0, 6.4807
31.82500, 0.50, 32.0, 5.6569
31.87500, 0.50, 36.0, 6.0000
31.92500, 0.50, 33.0, 5.7446
31.97500, 0.50, 40.0, 6.3246
32.02500, 0.50, 47.0, 6.8557
32.07500, 0.50, 45.0, 6.7082
32.12500, 0.50, 30.0, 5.4772
32.17500, 0.50, 65.0, 8.0623
32.22500, 0.50, 45.0, 6.7082
32.27500, 0.50, 39.0, 6.2450
32.32500, 0.50, 31.0, 5.5678
32.37500, 0.50, 31.0, 5.5678
32.42500, 0.50, 45.0, 6.7082
32.47500, 0.50, 27.0, 5.1962
32.52500, 0.50, 37.0, 6.0828
32.57500, 0.50, 41.0, 6.4031
32.62500, 0.50, 33.0, 5.7446
32.67500, 0.50, 41.0, 6.4031
32.72500, 0.50, 46.0, 6.7823
32.77500, 0.50, 31.0, 5.5678
32.82500, 0.50, 33.0, 5.7446
32.87500, 0.50, 47.0, 6.8557
32.92500, 0.50, 36.0, 6.0000
32.97500, 0.50, 43.0, 6.5574
33.02500, 0.50, 32.0, 5.6569
33.07500, 0.50, 30.0, 5.4772
33.12500, 0.50, 43.0, 6.5574
33.17500, 0.50, 30.0, 5.4772
33.22500, 0.50, 35.0, 5.9161
33.27500, 0.50, 34.0, 5.8310
33.32500, 0.50, 32.0, 5.6569
33.37500, 0.50, 31.0, 5.5678
33.42500, 0.50, 33.0, 5.7446
33.47500, 0.50, 26.0, 5.0990
33.52500, 0.50, 32.0, 5.6569
33.57500, 0.50, 34.0, 5.8310
33.62500, 0.50, 41.0, 6.4031
33.67500, 0.50, 32.0, 5.6569
33.72500, 0.50, 30.0, 5.4772
33.77500, 0.50, 39.0, 6.2450
33.82500, 0.50, 29.0, 5.3852
33.87500, 0.50, 34.0, 5.8310
33.92500, 0.50, 22.0, 4.6904
33.97500, 0.50, 34.0, 5.8310
34.02500, 0.50, 26.0, 5.0990
34.07500, 0.50, 44.0, 6.6332
34.12500, 0.50, 33.0, 5.7446
34.17500, 0.50, 31.0, 5.5678
34.22500, 0.50, 38.0, 6.1644
34.27500, 0.50, 44.0, 6.6332
34.32500, 0.50, 36.0, 6.0000
34.37500, 0.50, 31.0, 5.5678
34.42500, 0.50, 34.0, 5.8310
34.47500, 0.50, 35.0, 5.9161
34.52500, 0.50, 28.0, 5.2915
34.57500, 0.50, 37.0, 6.0828
34.62500, 0.50, 25.0, 5.0000
34.67500, 0.50, 31.0, 5.5678
34.72500, 0.50, 30.0, 5.4772
34.77500, 0.50, 33.0, 5.7446
34.82500, 0.50, 40.0, 6.3246
34.87500, 0.50, 30.0, 5.4772
34.92500, 0.50, 40.0, 6.3246
34.97500, 0.50, 32.0, 5.6569
35.02500, 0.50, 26.0, 5.0990
35.07500, 0.50, 28.0, 5.2915
35.12500, 0.50, 29.0, 5.3852
35.17500, 0.50, 40.0, 6.3246
35.22500, 0.50, 24.0, 4.8990
35.27500, 0.50, 25.0, 5.0000
35.32500, 0.50, 24.0, 4.8990
35.37500, 0.50, 23.0, 4.7958
35.42500, 0.50, 19.0, 4.3589
35.47500, 0.50, 19.0, 4.3589
35.52500, 0.50, 31.0, 5.5678
35.57500, 0.50, 31.0, 5.5678
35.62500, 0.50, 31.0, 5.5678
35.67500, 0.50, 34.0, 5.8310
35.72500, 0.50, 45.0, 6.7082
35.77500, 0.50, 23.0, 4.7958
35.82500, 0.50, 32.0, 5.6569
35.87500, 0.50, 36.0, 6.0000
35.92500, 0.50, 33.0, 5.7446
35.97500, 0.50, 33.0, 5.7446
36.02500, 0.50, 31.0, 5.5678
36.07500, 0.50, 36.0, 6.0000
36.12500, 0.50, 34.0, 5.8310
36.17500, 0.50, 31.0, 5.5678
36.22500, 0.50, 26.0, 5.0990
