[Measurement conditions]
Sample identification,25%Ag-AP
Comment - 1,"Configuration=Programmable xy with programmable z platforms, Owner=User, Creation date=02/07/2021 13:22:25"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Programmable xy-platform with programmable z-adjustment; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Knapp Group (CK)\Songming Liu\20-80°, 0.05° step, 0.5s-step.xrdmp, Created identifier={D6D0720B-9417-4404-86A5-80CEFF14CAE1}, Created by=User, Id=WL:EMPYREANGI:User, Creation date=20/06/2024 10:10:34"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 40
File date and time,15/Jul/2024 12:51
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,80.00000
Scan step size,0.0500000
No. of points, 1200
Scan type,CONTINUOUS
Omega,1.0000
X,-0.72
Y,-1.07
Z,20.290
Time per step,0.50
[Scan points]
Angle, TimePerStep, Intensity, ESD
20.02500, 0.50, 68.0, 8.2462
20.07500, 0.50, 64.0, 8.0000
20.12500, 0.50, 62.0, 7.8740
20.17500, 0.50, 74.0, 8.6023
20.22500, 0.50, 59.0, 7.6811
20.27500, 0.50, 52.0, 7.2111
20.32500, 0.50, 46.0, 6.7823
20.37500, 0.50, 53.0, 7.2801
20.42500, 0.50, 55.0, 7.4162
20.47500, 0.50, 50.0, 7.0711
20.52500, 0.50, 51.0, 7.1414
20.57500, 0.50, 62.0, 7.8740
20.62500, 0.50, 67.0, 8.1854
20.67500, 0.50, 50.0, 7.0711
20.72500, 0.50, 63.0, 7.9373
20.77500, 0.50, 74.0, 8.6023
20.82500, 0.50, 56.0, 7.4833
20.87500, 0.50, 45.0, 6.7082
20.92500, 0.50, 68.0, 8.2462
20.97500, 0.50, 64.0, 8.0000
21.02500, 0.50, 67.0, 8.1854
21.07500, 0.50, 70.0, 8.3666
21.12500, 0.50, 53.0, 7.2801
21.17500, 0.50, 57.0, 7.5498
21.22500, 0.50, 74.0, 8.6023
21.27500, 0.50, 62.0, 7.8740
21.32500, 0.50, 70.0, 8.3666
21.37500, 0.50, 77.0, 8.7750
21.42500, 0.50, 63.0, 7.9373
21.47500, 0.50, 61.0, 7.8102
21.52500, 0.50, 50.0, 7.0711
