[Measurement conditions]
Sample identification,100%Ag-AP
Comment - 1,"Configuration=Programmable xy with programmable z platforms, Owner=User, Creation date=02/07/2021 13:22:25"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Programmable xy-platform with programmable z-adjustment; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Knapp Group (CK)\Songming Liu\20-80°, 0.05° step, 0.5s-step.xrdmp, Created identifier={D6D0720B-9417-4404-86A5-80CEFF14CAE1}, Created by=User, Id=WL:EMPYREANGI:User, Creation date=20/06/2024 10:10:34"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 40
File date and time,15/Jul/2024 13:35
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,80.00000
Scan step size,0.0500000
No. of points, 1200
Scan type,CONTINUOUS
Omega,1.0000
X,2.95
Y,3.80
Z,20.300
Time per step,0.50
[Scan points]
Angle, TimePerStep, Intensity, ESD
20.02500, 0.50, 71.0, 8.4261
20.07500, 0.50, 72.0, 8.4853
20.12500, 0.50, 88.0, 9.3808
20.17500, 0.50, 82.0, 9.0554
20.22500, 0.50, 83.0, 9.1104
20.27500, 0.50, 90.0, 9.4868
20.32500, 0.50, 84.0, 9.1652
20.37500, 0.50, 73.0, 8.5440
20.42500, 0.50, 90.0, 9.4868
20.47500, 0.50, 82.0, 9.0554
20.52500, 0.50, 82.0, 9.0554
20.57500, 0.50, 65.0, 8.0623
20.62500, 0.50, 64.0, 8.0000
20.67500, 0.50, 73.0, 8.5440
20.72500, 0.50, 76.0, 8.7178
20.77500, 0.50, 70.0, 8.3666
20.82500, 0.50, 69.0, 8.3066
20.87500, 0.50, 60.0, 7.7460
20.92500, 0.50, 74.0, 8.6023
20.97500, 0.50, 71.0, 8.4261
21.02500, 0.50, 79.0, 8.8882
21.07500, 0.50, 79.0, 8.8882
21.12500, 0.50, 59.0, 7.6811
21.17500, 0.50, 75.0, 8.6603
21.22500, 0.50, 79.0, 8.8882
21.27500, 0.50, 64.0, 8.0000
21.32500, 0.50, 49.0, 7.0000
21.37500, 0.50, 67.0, 8.1854
21.42500, 0.50, 69.0, 8.3066
21.47500, 0.50, 76.0, 8.7178
21.52500, 0.50, 70.0, 8.3666
21.57500, 0.50, 73.0, 8.5440
21.62500, 0.50, 82.0, 9.0554
21.67500, 0.50, 84.0, 9.1652
21.72500, 0.50, 78.0, 8.8318
21.77500, 0.50, 63.0, 7.9373
21.82500, 0.50, 88.0, 9.3808
21.87500, 0.50, 76.0, 8.7178
21.92500, 0.50, 58.0, 7.6158
21.97500, 0.50, 67.0, 8.1854
22.02500, 0.50, 76.0, 8.7178
22.07500, 0.50, 69.0, 8.3066
22.12500, 0.50, 74.0, 8.6023
22.17500, 0.50, 82.0, 9.0554
22.22500, 0.50, 82.0, 9.0554
22.27500, 0.50, 83.0, 9.1104
22.32500, 0.50, 71.0, 8.4261
22.37500, 0.50, 78.0, 8.8318
22.42500, 0.50, 75.0, 8.6603
22.47500, 0.50, 71.0, 8.4261
22.52500, 0.50, 54.0, 7.3485
22.57500, 0.50, 78.0, 8.8318
22.62500, 0.50, 72.0, 8.4853
22.67500, 0.50, 74.0, 8.6023
22.72500, 0.50, 66.0, 8.1240
22.77500, 0.50, 73.0, 8.5440
22.82500, 0.50, 68.0, 8.2462
22.87500, 0.50, 68.0, 8.2462
22.92500, 0.50, 70.0, 8.3666
22.97500, 0.50, 74.0, 8.6023
23.02500, 0.50, 64.0, 8.0000
23.07500, 0.50, 68.0, 8.2462
23.12500, 0.50, 75.0, 8.6603
23.17500, 0.50, 68.0, 8.2462
23.22500, 0.50, 54.0, 7.3485
23.27500, 0.50, 73.0, 8.5440
23.32500, 0.50, 56.0, 7.4833
23.37500, 0.50, 62.0, 7.8740
23.42500, 0.50, 66.0, 8.1240
23.47500, 0.50, 62.0, 7.8740
23.52500, 0.50, 58.0, 7.6158
23.57500, 0.50, 60.0, 7.7460
23.62500, 0.50, 56.0, 7.4833
23.67500, 0.50, 65.0, 8.0623
23.72500, 0.50, 63.0, 7.9373
23.77500, 0.50, 67.0, 8.1854
23.82500, 0.50, 66.0, 8.1240
23.87500, 0.50, 58.0, 7.6158
23.92500, 0.50, 67.0, 8.1854
23.97500, 0.50, 75.0, 8.6603
24.02500, 0.50, 63.0, 7.9373
24.07500, 0.50, 62.0, 7.8740
24.12500, 0.50, 53.0, 7.2801
24.17500, 0.50, 68.0, 8.2462
24.22500, 0.50, 61.0, 7.8102
24.27500, 0.50, 71.0, 8.4261
24.32500, 0.50, 79.0, 8.8882
24.37500, 0.50, 66.0, 8.1240
24.42500, 0.50, 69.0, 8.3066
24.47500, 0.50, 54.0, 7.3485
24.52500, 0.50, 79.0, 8.8882
24.57500, 0.50, 59.0, 7.6811
24.62500, 0.50, 54.0, 7.3485
24.67500, 0.50, 63.0, 7.9373
24.72500, 0.50, 60.0, 7.7460
24.77500, 0.50, 61.0, 7.8102
24.82500, 0.50, 68.0, 8.2462
24.87500, 0.50, 64.0, 8.0000
24.92500, 0.50, 73.0, 8.5440
24.97500, 0.50, 59.0, 7.6811
25.02500, 0.50, 59.0, 7.6811
25.07500, 0.50, 50.0, 7.0711
25.12500, 0.50, 66.0, 8.1240
25.17500, 0.50, 45.0, 6.7082
25.22500, 0.50, 62.0, 7.8740
25.27500, 0.50, 58.0, 7.6158
25.32500, 0.50, 50.0, 7.0711
25.37500, 0.50, 60.0, 7.7460
25.42500, 0.50, 58.0, 7.6158
25.47500, 0.50, 48.0, 6.9282
25.52500, 0.50, 51.0, 7.1414
25.57500, 0.50, 76.0, 8.7178
25.62500, 0.50, 72.0, 8.4853
25.67500, 0.50, 62.0, 7.8740
25.72500, 0.50, 47.0, 6.8557
25.77500, 0.50, 47.0, 6.8557
25.82500, 0.50, 48.0, 6.9282
25.87500, 0.50, 50.0, 7.0711
25.92500, 0.50, 43.0, 6.5574
25.97500, 0.50, 45.0, 6.7082
26.02500, 0.50, 58.0, 7.6158
26.07500, 0.50, 61.0, 7.8102
26.12500, 0.50, 48.0, 6.9282
26.17500, 0.50, 54.0, 7.3485
26.22500, 0.50, 43.0, 6.5574
26.27500, 0.50, 47.0, 6.8557
26.32500, 0.50, 52.0, 7.2111
26.37500, 0.50, 52.0, 7.2111
26.42500, 0.50, 54.0, 7.3485
